,상호명,지점명,상권업종대분류명,상권업종중분류명,시도명,시군구명,행정동명,위도,경도
38,할리스커피,건설회관점,음식,커피점/카페,서울특별시,강남구,논현2동,37.5170729253059,127.033405850561
39,할리스커피,국기원점,음식,커피점/카페,서울특별시,강남구,역삼1동,37.4996332098094,127.029581894014
40,할리스커피,선유도역점티에스카페,음식,커피점/카페,서울특별시,영등포구,양평2동,37.5366985503736,126.896749544175
41,할리스커피가산디지털단지점,가산디지털단지점,음식,커피점/카페,서울특별시,금천구,가산동,37.4819075047515,126.881567999979
42,할리스커피세종로점,세종로점,음식,커피점/카페,서울특별시,종로구,사직동,37.5706720295256,126.976248239388
43,할리스커피,종로DGB점,음식,커피점/카페,서울특별시,중구,명동,37.5683634499121,126.982279365141
44,할리스커피,구반포역점,음식,커피점/카페,서울특별시,서초구,반포본동,37.5014010508174,126.986864637436
45,할리스에프앤비,,음식,커피점/카페,서울특별시,마포구,합정동,37.5485026914103,126.913324425388
46,할리스커피,신답사거리점,음식,커피점/카페,서울특별시,동대문구,답십리1동,37.5697973774467,127.049444721909
47,할리스커피,LG광화문점,음식,커피점/카페,서울특별시,종로구,사직동,37.5692616842383,126.971558426278
48,할리스커피북가좌점,북가좌점,음식,커피점/카페,서울특별시,서대문구,북가좌2동,37.5810711674579,126.911911509956
49,할리스커피,태평로점,음식,커피점/카페,서울특별시,중구,소공동,37.5619627407654,126.976684356853
50,할리스커피노량진역점노량진역점,노량진역점,음식,커피점/카페,서울특별시,동작구,노량진1동,37.513967763775,126.943337317706
51,할리스,대방역점,음식,커피점/카페,서울특별시,동작구,대방동,37.5098012748359,126.924959178503
52,할리스커피,학동역점,음식,커피점/카페,서울특별시,강남구,논현2동,37.5149890280984,127.03310468535
53,할리스커피마포역점,마포역점,음식,커피점/카페,서울특별시,마포구,용강동,37.5400542552859,126.945492645373
54,할리스커피,가산점,음식,커피점/카페,서울특별시,금천구,가산동,37.4824180375378,126.877444720579
55,할리스커피,서울만남의광장휴게소,음식,커피점/카페,서울특별시,서초구,양재2동,37.4596522409903,127.042713505005
56,할리스커피,약수역점,음식,커피점/카페,서울특별시,중구,약수동,37.5539516022101,127.010407465389
57,할리스커피,연신내점,음식,커피점/카페,서울특별시,은평구,대조동,37.6171924819743,126.919642858073
58,할리스커피,목동점,음식,커피점/카페,서울특별시,양천구,목1동,37.5282215355241,126.874971083565
59,할리스커피,세로수길점,음식,커피점/카페,서울특별시,강남구,신사동,37.5182370123285,127.022666748377
60,할리스,에벤에이치,음식,커피점/카페,서울특별시,영등포구,영등포동,37.5167445185456,126.906873500802
61,할리스커피테크노마트점,테크노마트점,음식,커피점/카페,서울특별시,광진구,구의3동,37.53571340911,127.095680669092
62,할리스커피,블루스퀘어점,음식,커피점/카페,서울특별시,용산구,한남동,37.5408646681631,127.002467085615
63,할리스커피,삼성금융캠퍼스점,음식,커피점/카페,서울특별시,서초구,서초1동,37.4919064172088,127.020273323241
64,할리스,용산리첸시아점,음식,커피점/카페,서울특별시,용산구,원효로1동,37.5379280661978,126.967960705689
65,할리스커피,충정래미안점,음식,커피점/카페,서울특별시,중구,중림동,37.5589778585905,126.96606321522
66,할리스커피,양재점,음식,커피점/카페,서울특별시,서초구,서초2동,37.4849541279802,127.031671422948
67,할리스커피,서울역KTX플랫폼점,음식,커피점/카페,서울특별시,용산구,남영동,37.5548283309992,126.971711545358
68,할리스커피,신사역사거리점,음식,커피점/카페,서울특별시,강남구,논현1동,37.5154045732476,127.0201132644
69,할리스커피,서대문역점,음식,커피점/카페,서울특별시,서대문구,충현동,37.5660805604061,126.965319837288
